ratio,pls,dynamic_variance,pca,centrality,static_variance
0.0,0.75577223,0.75577223,0.75577223,0.75577223,0.75577223
0.1,0.44603625,0.5143117,0.014493439,0.17438458,6.508416e-11
0.2,0.43227813,0.4554609,0.027929148,0.17438458,6.508489e-11
0.3,0.43227813,0.40724012,0.027929148,0.17438458,6.508496e-11
0.4,0.43227813,0.10587596,0.027929148,0.17438458,6.508484e-11
0.5,0.43227813,0.08017861,0.027929148,0.17438458,6.508484e-11
0.6,0.43227813,0.08017861,0.027929148,0.17438458,6.508484e-11
0.7,0.43227813,0.08017861,0.027929148,0.17438458,6.508484e-11
0.8,0.43227813,0.08017861,0.027929148,0.17438458,6.508484e-11
0.9,0.43227813,0.08017861,0.027929148,0.17438458,6.508484e-11
